week,home_team,away_team,neutral_site
Week 4 (Sept 18-20),Florida State,Kent State,False
Week 5 (Sept 25-27),@ Virginia,Florida State,False
Week 6 (Oct 2-4),Florida State,Miami (FL),False
Week 7 (Oct 8-11),Florida State,Pitt,False
Week 8 (Oct 14-18),@ Stanford,Florida State,False
Week 10 (Oct 28-Nov 1),Florida State,Wake Forest,False
Week 11 (Nov 4-8),@ Clemson,Florida State,False
Week 12 (Nov 11-15),Florida State,Virginia Tech,False
Week 13 (Nov 18-22),@ NC State,Florida State,False
Week 14 (Nov 25-29),@ Florida,Florida State,False
Week 1 (Aug 28-Sept 1),@ Colorado,Georgia Tech,False
Week 2 (Sept 5-6),Georgia Tech,Gardner-Webb,False
Week 3 (Sept 11-13),Georgia Tech,Clemson,False
Week 4 (Sept 18-20),Georgia Tech,Temple,False
Week 5 (Sept 25-27),@ Wake Forest,Georgia Tech,False
Week 7 (Oct 8-11),Georgia Tech,Virginia Tech,False
Week 8 (Oct 14-18),@ Duke,Georgia Tech,False
Week 9 (Oct 21-25),Georgia Tech,Syracuse,False
Week 10 (Oct 28-Nov 1),@ NC State,Georgia Tech,False
Week 12 (Nov 11-15),@ Boston College,Georgia Tech,False
Week 13 (Nov 18-22),Georgia Tech,Pitt,False
Week 14 (Nov 25-29),Georgia Tech,Georgia,False
Week 1 (Aug 28-Sept 1),Louisville,Eastern Kentucky,False
Week 2 (Sept 5-6),Louisville,James Madison,False
Week 4 (Sept 18-20),Louisville,Bowling Green,False
Week 5 (Sept 25-27),@ Pitt,Louisville,False
Week 6 (Oct 2-4),Louisville,Virginia,False
Week 8 (Oct 14-18),@ Miami (FL),Louisville,False
Week 9 (Oct 21-25),Louisville,Boston College,False
Week 10 (Oct 28-Nov 1),@ Virginia Tech,Louisville,False
Week 11 (Nov 4-8),Louisville,Cal,False
Week 12 (Nov 11-15),Louisville,Clemson,False
Week 13 (Nov 18-22),@ SMU,Louisville,False
Week 14 (Nov 25-29),Louisville,Kentucky,False
Week 1 (Aug 28-Sept 1),Miami (FL),Notre Dame,False
Week 2 (Sept 5-6),Miami (FL),Bethune-Cookman,False
Week 3 (Sept 11-13),Miami (FL),USF,False
Week 4 (Sept 18-20),Miami (FL),Florida,False
Week 6 (Oct 2-4),@ Florida State,Miami (FL),False
Week 8 (Oct 14-18),Miami (FL),Louisville,False
Week 9 (Oct 21-25),Miami (FL),Stanford,False
Week 10 (Oct 28-Nov 1),@ SMU,Miami (FL),False
Week 11 (Nov 4-8),Miami (FL),Syracuse,False
Week 12 (Nov 11-15),Miami (FL),NC State,False
Week 13 (Nov 18-22),@ Virginia Tech,Miami (FL),False
Week 14 (Nov 25-29),@ Pitt,Miami (FL),False
Week 1 (Aug 28-Sept 1),NC State,East Carolina,False
Week 2 (Sept 5-6),NC State,Virginia,False
Week 3 (Sept 11-13),@ Wake Forest,NC State,False
Week 4 (Sept 18-20),@ Duke,NC State,False
Week 5 (Sept 25-27),NC State,Virginia Tech,False
Week 6 (Oct 2-4),NC State,Campbell,False
Week 7 (Oct 8-11),@ Notre Dame,NC State,False
Week 9 (Oct 21-25),@ Pitt,NC State,False
Week 10 (Oct 28-Nov 1),NC State,Georgia Tech,False
Week 12 (Nov 11-15),@ Miami (FL),NC State,False
Week 13 (Nov 18-22),NC State,Florida State,False
Week 14 (Nov 25-29),NC State,North Carolina,False
Week 1 (Aug 28-Sept 1),North Carolina,TCU,False
Week 2 (Sept 5-6),@ Charlotte,North Carolina,False
Week 3 (Sept 11-13),North Carolina,Richmond,False
Week 4 (Sept 18-20),@ UCF,North Carolina,False
