week,home_team,away_team,neutral_site
Week 4 (Sept 18-20),@ Kennesaw State,Arkansas State,False
Week 5 (Sept 25-27),@ Louisiana Monroe,Arkansas State,False
Week 6 (Oct 2-4),Arkansas State,Texas State,False
Week 8 (Oct 14-18),@ South Alabama,Arkansas State,False
Week 9 (Oct 21-25),Arkansas State,Georgia Southern,False
Week 10 (Oct 28-Nov 1),@ Troy,Arkansas State,False
Week 11 (Nov 4-8),Arkansas State,Southern Miss,False
Week 13 (Nov 18-22),Arkansas State,Louisiana,False
Week 14 (Nov 25-29),@ Appalachian State,Arkansas State,False
Week 1 (Aug 28-Sept 1),@ Virginia,Coastal Carolina,False
Week 2 (Sept 5-6),Coastal Carolina,Charleston Southern,False
Week 3 (Sept 11-13),Coastal Carolina,East Carolina,False
Week 4 (Sept 18-20),@ South Alabama,Coastal Carolina,False
Week 6 (Oct 2-4),@ Old Dominion,Coastal Carolina,False
Week 7 (Oct 8-11),Coastal Carolina,Louisiana Monroe,False
Week 8 (Oct 14-18),@ Appalachian State,Coastal Carolina,False
Week 10 (Oct 28-Nov 1),Coastal Carolina,Marshall,False
Week 11 (Nov 4-8),Coastal Carolina,Georgia State,False
Week 12 (Nov 11-15),@ Georgia Southern,Coastal Carolina,False
Week 13 (Nov 18-22),@ South Carolina,Coastal Carolina,False
Week 14 (Nov 25-29),Coastal Carolina,James Madison,False
Week 1 (Aug 28-Sept 1),@ Fresno State,Georgia Southern,False
Week 2 (Sept 5-6),@ USC,Georgia Southern,False
Week 3 (Sept 11-13),Georgia Southern,Jacksonville State,False
Week 4 (Sept 18-20),Georgia Southern,Maine,False
Week 5 (Sept 25-27),@ James Madison,Georgia Southern,False
Week 7 (Oct 8-11),Georgia Southern,Southern Miss,False
Week 8 (Oct 14-18),Georgia Southern,Georgia State,False
Week 9 (Oct 21-25),@ Arkansas State,Georgia Southern,False
Week 11 (Nov 4-8),@ Appalachian State,Georgia Southern,False
Week 12 (Nov 11-15),Georgia Southern,Coastal Carolina,False
Week 13 (Nov 18-22),Georgia Southern,Old Dominion,False
Week 14 (Nov 25-29),@ Marshall,Georgia Southern,False
Week 1 (Aug 28-Sept 1),@ Ole Miss,Georgia State,False
Week 2 (Sept 5-6),Georgia State,Memphis,False
Week 3 (Sept 11-13),Georgia State,Murray State,False
Week 4 (Sept 18-20),@ Vanderbilt,Georgia State,False
Week 6 (Oct 2-4),Georgia State,James Madison,False
Week 7 (Oct 8-11),Georgia State,Appalachian State,False
Week 8 (Oct 14-18),@ Georgia Southern,Georgia State,False
Week 9 (Oct 21-25),Georgia State,South Alabama,False
Week 11 (Nov 4-8),@ Coastal Carolina,Georgia State,False
Week 12 (Nov 11-15),Georgia State,Marshall,False
Week 13 (Nov 18-22),@ Troy,Georgia State,False
Week 14 (Nov 25-29),@ Old Dominion,Georgia State,False
Week 1 (Aug 28-Sept 1),James Madison,Weber State,False
Week 2 (Sept 5-6),@ Louisville,James Madison,False
Week 4 (Sept 18-20),@ Liberty,James Madison,False
Week 5 (Sept 25-27),James Madison,Georgia Southern,False
Week 6 (Oct 2-4),@ Georgia State,James Madison,False
Week 7 (Oct 8-11),James Madison,Louisiana,False
Week 8 (Oct 14-18),James Madison,Old Dominion,False
Week 10 (Oct 28-Nov 1),@ Texas State,James Madison,False
Week 11 (Nov 4-8),@ Marshall,James Madison,False
Week 12 (Nov 11-15),James Madison,Appalachian State,False
Week 13 (Nov 18-22),James Madison,Washington State,False
Week 14 (Nov 25-29),@ Coastal Carolina,James Madison,False
Week 1 (Aug 28-Sept 1),Louisiana,Rice,False
Week 2 (Sept 5-6),Louisiana,McNeese,False
Week 3 (Sept 11-13),@ Missouri,Louisiana,False
Week 4 (Sept 18-20),@ Eastern Michigan,Louisiana,False
Week 5 (Sept 25-27),Louisiana,Marshall,False
Week 7 (Oct 8-11),@ James Madison,Louisiana,False
Week 8 (Oct 14-18),Louisiana,Southern Miss,False
Week 9 (Oct 21-25),@ Troy,Louisiana,False
Week 10 (Oct 28-Nov 1),@ South Alabama,Louisiana,False
Week 11 (Nov 4-8),Louisiana,Texas State,False
Week 13 (Nov 18-22),@ Arkansas State,Louisiana,False
Week 14 (Nov 25-29),Louisiana,Louisiana Monroe,False
Week 1 (Aug 28-Sept 1),Louisiana Monroe,Saint Francis,False
Week 2 (Sept 5-6),@ Alabama,Louisiana Monroe,False
Week 4 (Sept 18-20),@ UTEP,Louisiana Monroe,False
Week 5 (Sept 25-27),Louisiana Monroe,Arkansas State,False
Week 6 (Oct 2-4),@ Northwestern,Louisiana Monroe,False
Week 7 (Oct 8-11),@ Coastal Carolina,Louisiana Monroe,False
Week 8 (Oct 14-18),Louisiana Monroe,Troy,False
Week 9 (Oct 21-25),@ Southern Miss,Louisiana Monroe,False
Week 10 (Oct 28-Nov 1),Louisiana Monroe,Old Dominion,False
Week 12 (Nov 11-15),Louisiana Monroe,South Alabama,False
Week 13 (Nov 18-22),@ Texas State,Louisiana Monroe,False
Week 14 (Nov 25-29),@ Louisiana,Louisiana Monroe,False
Week 1 (Aug 28-Sept 1),@ Georgia,Marshall,False
Week 2 (Sept 5-6),Marshall,Missouri State,False
Week 3 (Sept 11-13),Marshall,Eastern Kentucky,False
Week 4 (Sept 18-20),@ Middle Tennessee,Marshall,False
Week 5 (Sept 25-27),@ Louisiana,Marshall,False
Week 7 (Oct 8-11),Marshall,Old Dominion,False
Week 8 (Oct 14-18),Marshall,Texas State,False
Week 10 (Oct 28-Nov 1),@ Coastal Carolina,Marshall,False
Week 11 (Nov 4-8),Marshall,James Madison,False
Week 12 (Nov 11-15),@ Georgia State,Marshall,False
Week 13 (Nov 18-22),@ Appalachian State,Marshall,False
Week 14 (Nov 25-29),Marshall,Georgia Southern,False
Week 1 (Aug 28-Sept 1),@ Indiana,Old Dominion,False
Week 2 (Sept 5-6),Old Dominion,NC Central,False
Week 3 (Sept 11-13),@ Virginia Tech,Old Dominion,False
Week 5 (Sept 25-27),Old Dominion,Liberty,False
Week 6 (Oct 2-4),Old Dominion,Coastal Carolina,False
Week 7 (Oct 8-11),@ Marshall,Old Dominion,False
Week 8 (Oct 14-18),@ James Madison,Old Dominion,False
Week 9 (Oct 21-25),Old Dominion,Appalachian State,False
Week 10 (Oct 28-Nov 1),@ Louisiana Monroe,Old Dominion,False
Week 12 (Nov 11-15),Old Dominion,Troy,False
Week 13 (Nov 18-22),@ Georgia Southern,Old Dominion,False
Week 14 (Nov 25-29),Old Dominion,Georgia State,False
Week 1 (Aug 28-Sept 1),South Alabama,Morgan State,False
Week 2 (Sept 5-6),South Alabama,Tulane,False
Week 3 (Sept 11-13),@ Auburn,South Alabama,False
Week 4 (Sept 18-20),South Alabama,Coastal Carolina,False
Week 5 (Sept 25-27),@ North Texas,South Alabama,False
Week 6 (Oct 2-4),@ Troy,South Alabama,False
Week 8 (Oct 14-18),South Alabama,Arkansas State,False
Week 9 (Oct 21-25),@ Georgia State,South Alabama,False
Week 10 (Oct 28-Nov 1),South Alabama,Louisiana,False
Week 12 (Nov 11-15),@ Louisiana Monroe,South Alabama,False
Week 13 (Nov 18-22),South Alabama,Southern Miss,False
Week 14 (Nov 25-29),@ Texas State,South Alabama,False
Week 1 (Aug 28-Sept 1),Southern Miss,Mississippi State,False
Week 2 (Sept 5-6),Southern Miss,Jackson State,False
Week 3 (Sept 11-13),Southern Miss,Appalachian State,False
Week 4 (Sept 18-20),@ Louisiana Tech,Southern Miss,False
Week 5 (Sept 25-27),Southern Miss,Jacksonville State,False
Week 7 (Oct 8-11),@ Georgia Southern,Southern Miss,False
Week 8 (Oct 14-18),@ Louisiana,Southern Miss,False
Week 9 (Oct 21-25),Southern Miss,Louisiana Monroe,False
Week 11 (Nov 4-8),@ Arkansas State,Southern Miss,False
Week 12 (Nov 11-15),Southern Miss,Texas State,False
Week 13 (Nov 18-22),@ South Alabama,Southern Miss,False
Week 14 (Nov 25-29),Southern Miss,Troy,False
Week 1 (Aug 28-Sept 1),Texas State,Eastern Michigan,False
Week 2 (Sept 5-6),@ UTSA,Texas State,False
Week 3 (Sept 11-13),@ Arizona State,Texas State,False
Week 4 (Sept 18-20),Texas State,Nicholls,False
Week 6 (Oct 2-4),@ Arkansas State,Texas State,False
Week 7 (Oct 8-11),Texas State,Troy,False
Week 8 (Oct 14-18),@ Marshall,Texas State,False
Week 10 (Oct 28-Nov 1),Texas State,James Madison,False
Week 11 (Nov 4-8),@ Louisiana,Texas State,False
Week 12 (Nov 11-15),@ Southern Miss,Texas State,False
Week 13 (Nov 18-22),Texas State,Louisiana Monroe,False
Week 14 (Nov 25-29),Texas State,South Alabama,False
Week 1 (Aug 28-Sept 1),Troy,Nicholls,False
Week 2 (Sept 5-6),@ Clemson,Troy,False
Week 3 (Sept 11-13),Troy,Memphis,False
Week 4 (Sept 18-20),@ Buffalo,Troy,False
Week 6 (Oct 2-4),Troy,South Alabama,False
Week 7 (Oct 8-11),@ Texas State,Troy,False
Week 8 (Oct 14-18),@ Louisiana Monroe,Troy,False
Week 9 (Oct 21-25),Troy,Louisiana,False
Week 10 (Oct 28-Nov 1),Troy,Arkansas State,False
Week 12 (Nov 11-15),@ Old Dominion,Troy,False
Week 13 (Nov 18-22),Troy,Georgia State,False
Week 14 (Nov 25-29),@ Southern Miss,Troy,False
Week 1 (Aug 28-Sept 1),@ Miami (FL),Notre Dame,False
Week 3 (Sept 11-13),Notre Dame,Texas A&M,False
Week 4 (Sept 18-20),Notre Dame,Purdue,False
Week 5 (Sept 25-27),@ Arkansas,Notre Dame,False
Week 6 (Oct 2-4),Notre Dame,Boise State,False
Week 7 (Oct 8-11),Notre Dame,NC State,False
Week 8 (Oct 14-18),Notre Dame,USC,False
Week 10 (Oct 28-Nov 1),@ Boston College,Notre Dame,False
Week 11 (Nov 4-8),Notre Dame,Navy,False
Week 12 (Nov 11-15),@ Pitt,Notre Dame,False
Week 13 (Nov 18-22),Notre Dame,Syracuse,False
Week 14 (Nov 25-29),@ Stanford,Notre Dame,False
Week 1 (Aug 28-Sept 1),UConn,Central Connecticut,False
Week 2 (Sept 5-6),@ Syracuse,UConn,False
Week 3 (Sept 11-13),@ Delaware,UConn,False
Week 4 (Sept 18-20),UConn,Ball State,False
Week 5 (Sept 25-27),@ Buffalo,UConn,False
Week 6 (Oct 2-4),UConn,Florida International,False
Week 8 (Oct 14-18),@ Boston College,UConn,False
Week 9 (Oct 21-25),@ Rice,UConn,False
Week 10 (Oct 28-Nov 1),UConn,UAB,False
Week 11 (Nov 4-8),UConn,Duke,False
Week 12 (Nov 11-15),UConn,Air Force,False
Week 13 (Nov 18-22),@ Florida Atlantic,UConn,False
