game_id,week,home_team,away_team,spread
401756886,2,UCF,North Carolina A&T,
401762816,2,Massachusetts,Bryant,
401752691,2,South Carolina,South Carolina State,
401752821,2,Washington,UC Davis,
401754621,2,Florida State,East Texas A&M,
401754527,2,Charlotte,North Carolina,
401760364,2,Colorado State,Northern Colorado,
401754641,2,Miami,Bethune-Cookman,
401779511,2,Mercyhurst,New Haven,
401767658,2,Lehigh,Sacred Heart,
401767771,2,Stonehill,Lafayette,
401767626,2,Marist,Bucknell,
401767231,2,Tennessee Tech,Chattanooga,
401767172,2,Indiana State,Eastern Illinois,
401767550,2,Youngstown State,Robert Morris,
401767224,2,Tennessee State,North Dakota State,
401767719,2,Georgetown,Wagner,
401767579,2,Samford,The Citadel,
401767565,2,Furman,Presbyterian,
401767089,2,Idaho,St. Thomas (MN),
401767112,2,Northern Arizona,Utah Tech,
401767332,2,Delaware State,UAlbany,
401767336,2,Villanova,Colgate,
401767277,2,Eastern Kentucky,Houston Christian,
401767257,2,Fordham,Monmouth,
401767482,2,Lamar,South Dakota,
401767127,2,North Dakota,Portland State,
401767266,2,New Hampshire,Holy Cross,
401767328,2,Morgan State,Towson,
401767437,2,Illinois State,Morehead State,
401767455,2,Murray State,SE Louisiana,
401767379,2,Central Arkansas,Arkansas-Pine Bluff,
401769868,2,Nicholls,West Georgia,
401767359,2,Southern,Alabama State,
401767304,2,Tarleton State,Mississippi Valley State,
401767216,2,Southeast Missouri State,North Alabama,
401767309,2,Alabama A&M,Alcorn State,
401767593,2,Wofford,Richmond,
401767149,2,Elon,Davidson,
401767238,2,Abilene Christian,Stephen F. Austin,
401767189,2,William & Mary,Maine,
401767105,2,Montana State,South Dakota State,
401767317,2,Stony Brook,Rhode Island,
401767292,2,San Diego,Southern Utah,
401752699,3,LSU,Florida,
401752705,3,Tennessee,Georgia,
401754623,3,Georgia Tech,Clemson,
401754638,3,West Virginia,Pittsburgh,
401752707,3,Notre Dame,Texas A&M,
401752836,3,Indiana,Indiana State,
401756893,3,Houston,Colorado,
401756888,3,Arizona,Kansas State,
401754531,3,Wake Forest,NC State,
401752837,3,UCLA,New Mexico,
401752831,3,Northwestern,Oregon,
401754534,3,Tulane,Duke,
401752703,3,Temple,Oklahoma,
401761608,3,Troy,Memphis,
401752696,3,Alabama,Wisconsin,
401754532,3,Syracuse,Colgate,
401752938,3,Texas Tech,Oregon State,
401752949,3,North Texas,Washington State,
401754536,3,Virginia Tech,Old Dominion,
401752832,3,Purdue,USC,
401752835,3,Penn State,Villanova,
401752830,3,Iowa,Massachusetts,
401752704,3,South Carolina,Vanderbilt,
401756895,3,Wyoming,Utah,
401762465,3,Tulsa,Navy,
401752838,3,Maryland,Towson,
401754535,3,Miami,South Florida,
401762817,3,Kent State,Buffalo,
401752839,3,Michigan,Central Michigan,
401757168,3,Delaware,UConn,
401752697,3,Auburn,South Alabama,
401754615,3,Missouri State,SMU,
401756890,3,Arkansas State,Iowa State,
401761607,3,Southern Miss,App State,
401754639,3,North Carolina,Richmond,
401757257,3,Louisiana Tech,New Mexico State,
401752702,3,Missouri,Louisiana,
401756891,3,Baylor,Samford,
401752698,3,Kentucky,Eastern Michigan,
401752700,3,Ole Miss,Arkansas,
401752840,3,California,Minnesota,
401754619,3,Virginia,William & Mary,
401752706,3,Texas,UTEP,
401760368,3,Utah State,Air Force,
401757258,3,Nevada,Middle Tennessee,
401752828,3,Nebraska,Houston Christian,
401757256,3,Bowling Green,Liberty,
401757233,3,Florida International,Florida Atlantic,
401752827,3,Ohio State,Ohio,
401757234,3,Georgia Southern,Jacksonville State,
401752829,3,Illinois,Western Michigan,
401756889,3,Arizona State,Texas State,
401754533,3,Stanford,Boston College,
401761604,3,Coastal Carolina,East Carolina,
401762818,3,Ball State,New Hampshire,
401762463,3,UAB,Akron,
401756892,3,Cincinnati,Northwestern State,
401762464,3,Charlotte,Monmouth,
401762466,3,Rice,Prairie View A&M,
